id,location,wof_id
2015645312,"illinois,springfield,united states",85971363
2019633162,canada,85633041
2018649158,"chicago,illinois",404496273
2018650684,oregon,85688513
2020682853,italy,85633253
2022645842,"malm,sweden",1125325713
2017647077,washington d.c.,85931779
2017645048,"saratoga springs,new york",85977919
2020684208,italy,85633253
2018650985,new york,85688543
2019641101,england,85921113
2017647195,washington d.c.,85931779
2020682286,ireland,85633241
2017657244,"niagara falls,new york,ontario",101736289
2019641105,england,85921113
2021642198,russia,85632685
2020637656,"java,indonesia",102020395
2017652002,"arizona,coconino county",102086831
2019646600,"frankfurt am main,germany",102063589
2017651030,"ontario,niagara falls,new york,buffalo",1343973995
2020637975,java,404522999
2015646060,north carolina,85688773
2017657209,"niagara falls,new york,ontario",101736289
2022645817,"sweden,leksand",1125382219
2020634284,japan,85632429
2018663800,puerto rico,85633729
2018648597,illinois,85688697
2021637504,mexico,85633293
2020637455,japan,85632429
93507288,"mexico,mexico city",857683023
2021636327,morocco,85632693
2022649488,"otterndorf,germany",101806651
2020684679,jamaica,85632215
2020632606,japan,85632429
89709778,new york,85688543
2018663802,puerto rico,85633729
2010647508,"washington,seattle",101730401
2013649857,"missouri,saint louis",102086173
90708248,"greensboro,north carolina",1310125393
2020681796,india,85632469
2020680316,germany,85633111
2020634290,japan,85632429
2021647831,sri lanka,85632313
2017656518,"new york,central park",85979165
2003681433,greece,85633171
2018648864,"france,brittany",404227447
2020632652,japan,85632429
2019639370,"cairo,egypt",85670999
2019643270,"france,strasbourg",101751113
2021640048,panama,85632179
2011647004,washington d.c.,85931779
2020680904,greece,85633171
2011660050,"johnsonville,tennessee,united states",1343773279
2013647533,"missouri,saint louis",102086173
2020680806,greece,85633171
2018650161,massachusetts,85688645
2018651990,"philadelphia,p.a.",101718083
2020639537,mexico,85633293
2020681234,india,85632469
2015647147,"louisiana,lousiana,port hudson,united states",1125804403
2017651025,"philadelphia,pennsylvania",101718083
2017645285,new york,85688543
2020684102,italy,85633253
2020681226,india,85632469
2005691196,"wilmington,delaware",85931573
2004672366,"new york,new york city",421205771
2010646521,new york,85688543
2003666568,"korea,inch'ŏn,south korea",85673177
2006678856,"yosemite valley,california",85924991
2017652673,"kentucky,columbus,united states",101712381
2017657002,"new york,new york city",421205771
2017650472,"poughkeepsie,new york",404522309
2021640821,poland,85633723
2019641137,france,85633147
2018651563,"cleveland,o.h.",101712563
2017650635,washington d.c.,85931779
2015647750,"louisiana,lousiana,port hudson,united states",1125804403
2017659294,"new york,central park",85979165
2017657699,new york,85688543
2021645873,spain,85633129
2017658868,"new york,central park",85979165
2021636328,morocco,85632693
2017658947,"new york,central park",85979165
2018647764,colorado,85688603
2018650680,oregon,85688513
2020681352,india,85632469
2019633838,china,85632695
2018653449,"rainier,washington,mount",404526971
2021645767,spain,85633129
2017659861,"new york,new york city",421205771
2018651775,oregon,85688513
2021637914,norway,85633341
2021637055,"mexico,pátzcuaro",102074965
2003681416,"greece,kerkyra",101875711
2019642271,france,85633147
2006676213,"yosemite national park,california",85688637
2022645774,zimbabwe,85632243
2017659816,"new york,new york city",421205771
2005677464,"united states,charleston,south carolina",102085591
2018650298,new york,85688543
2020683874,italy,85633253
2015647557,"hopewell,virginia,united states",101728945
2008678971,"china,tianjin",85669817
2021646027,south africa,85633813
2020680461,germany,85633111
2020681171,india,85632469
2017652008,arizona,85688719
2021639821,panama,85632179
2019634985,denmark,85633121
2021640696,norway,85633341
2020682006,ireland,85633241
2022648293,"virginia,norfolk",1360698955
2006680373,yellowstone national park,85975459
2020684744,jamaica,85632215
2019637310,"england,london",101750367
2022645135,switzerland,85633051
2020683471,italy,85633253
2020683176,italy,85633253
2019631333,austria,85632785
2018648298,pennsylvania,85688481
2018649461,"antietam,maryland",85949641
2021638350,norway,85633341
91722424,"california,santa cruz",85669427
2017651897,"johnstown,cambria county,pennsylvania",404485115
2009630940,"united states,charleston,south carolina",102085591
2018652005,new york,85688543
2017659409,"niagara falls,new york",404522745
2017659290,"new york,central park",85979165
2018650626,"havana glen,new york",404522713
2018650076,"minnehaha falls,minnesota",85872553
2018650432,"greece,athens",1175612731
96520263,"puerto rico,mayagüez",102080311
2017649074,"new york,central park",85979165
97509628,"denver,colorado",85928879
2021640952,"oporto,portugal",85687411
2009632300,"balat,aydın ili,turkey",1276860563
2021639854,panama,85632179
2020680891,greece,85633171
96512459,"new mexico,santa fe",85668077
2018650419,"greece,athens,acropolis",101801831
2021650864,"manila,philippines",1159397249
2020634519,japan,85632429
2017651059,"chicago,illinois",404496273
2020635533,california,85688637
2020680562,greece,85633171
2021639649,norway,85633341
93510895,"brooklyn bridge,new york",421205765
2018649342,"louisiana,new orleans,lousiana",1260162029
2019642287,france,85633147
2019641121,england,85921113
2003670964,"new york,broadway",85892459
2021639678,panama,85632179
2021646038,south africa,85633813
2015651920,serbia,85633755
2017658886,"new york,central park",85979165
2018650273,new york,85688543
2021635845,montserrat,85632677
2019642650,"england,p",404521041
2022643437,switzerland,85633051
2020680917,greece,85633171
2022645278,niagara falls,404522745
2019642727,germany,85633111
2017652676,"kentucky,columbus,united states",101712381
2020637926,java,404522999
2017649094,"new york,central park",85979165
2019633832,china,85632695
2020638835,mexico,85633293
2017645841,washington d.c.,85931779
2017657220,"niagara falls,ontario,new york",102082359
2015647116,"virginia,united states",85688747
91728109,egypt,85632581
2020637424,japan,85632429
2019645169,"france,versailles",101753015
2021637100,mexico,85633293
95522202,"thousand islands,ontario,new york",102082359
2017650686,"arlington,virginia,arlington national cemetery",1108726271
2017657342,"new york,central park",85979165
2022646091,switzerland,85633051
2010647371,washington d.c.,85931779
96516662,"public garden,massachusetts,boston",85950361
2017657080,washington d.c.,85931779
2018649618,"atlantic city,new jersey",85975315
2006679442,"colorado springs,garden of the gods,colorado",85929457
2020637969,java,404522999
2019644151,"germany,berlin",1729471691
2018648887,"d'armor,dinan,france,côtes",1125915781
2018650511,"st. paul,minnesota",404514465
2020637480,japan,85632429
2019644174,"germany,berlin",1729471691
2016646711,"virginia,united states,richmond",102081779
2013649282,"missouri,saint louis",102086173
2018645568,"california,san francisco",102087579
2020638611,mexico,85633293
2017650694,washington d.c.,85931779
2020684101,italy,85633253
2021640752,norway,85633341
2021644181,scotland,102087849
2020639616,"netherlands,amsterdam",101751893
2018649935,massachusetts,85688645
2013649347,"missouri,saint louis",102086173
2006678975,"yosemite valley,california",85924991
2019636505,egypt,85632581
2020639344,madeira islands,85671847
2019638883,"england,london",101750367
2017657088,washington d.c.,85931779
2020680383,germany,85633111
2017657246,"niagara falls,ontario,new york",102082359
2022645771,zimbabwe,85632243
2020632631,japan,85632429
2018649057,"chicago,illinois",404496273
2014649895,"georgia,savannah",85936939
2020681054,guadeloupe,890453599
2013649933,"missouri,saint louis",102086173
2017647183,"massachusetts avenue,scott circle,washington d.c.",85931779
2020682943,italy,85633253
2018649325,"louisiana,new orleans,lousiana",1260162029
2021642075,saint vincent island,85633249
2003666475,"seoul,korea,south korea",102026327
2017651295,"portage,pennsylvania",404485399
2017660856,"france,pierrefonds,paris",85683497
2020634583,japan,85632429
2018645481,"california,pasadena",101726105
2018653051,utah,85688567
2018650087,"st. paul,minnesota",404514465
2013649234,"missouri,saint louis",102086173
2017659385,"tribeca,new york",85865713
2022643956,sweden,85633789
2021639748,panama,85632179
2017647030,washington d.c.,85931779
2017651954,"colorado,sterling",85851013
2019639386,"england,london",101750367
2019641490,france,85633147
2021646982,"colombo,sri lanka",85673811
2022643852,sweden,85633789
2017656779,"new york,coney island",85812061
2015645075,"minnesota,hibbing",85968501
2017658281,"hudson river,new york,new jersey",102080719
91482742,"cuba,cienfuegos",1242679643
2021642056,saint vincent island,85633249
2019631583,"vienna,austria",85681667
2020680717,greece,85633171
2022643660,"sweden,huskvarna",1125808437
2020684058,italy,85633253
2019630809,"washington,seattle,west seattle",890536787
2018650593,"hamilton,new york",85977543
2019638961,england,85921113
2021639824,panama,85632179
2020684084,italy,85633253
2018652410,oregon,85688513
2018648264,florida,85688651
2020681499,india,85632469
2016646072,france,85633147
2020632700,japan,85632429
2019643973,germany,85633111
2015649040,united states,85633793
2017645168,washington d.c.,85931779
2019630128,"algeria,algiers",421174649
2018649608,"minneapolis,minnesota",404511883
93503751,"niagara falls,ontario,new york",102082359
89712083,"eagle peak,california,yosemite valley",85924991
2021641703,"russia,moscow",85688085
2022643890,sweden,85633789
2021646823,"spain,zaragoza",101748361
2021646511,sri lanka,85632313
2020684059,italy,85633253
2006679629,israel,1729889641
2022645192,massachusetts,85688645
2020681422,india,85632469
2021645953,south africa,85633813
2010647250,"massachusetts,nahant",85950799
2003666451,"seoul,korea,south korea",102026327
00650985,washington d.c.,85931779
2017645039,"saratoga springs,new york",85977919
2017651984,"new york,west point,united states",101727885
2020684394,italy,85633253
2020634741,japan,85632429
2021638105,norway,85633341
2009630934,"virginia,fort monroe,united states",1108936697
2018648622,illinois,85688697
2013649515,"missouri,saint louis",102086173
97501523,"gettysburg,united states,pennsylvania",101718863
2017651909,"italy,rome",85685461
2013649973,"missouri,saint louis",102086173
2018649579,"minnesota,fort snelling",404511715
2018651784,oregon,85688513
2020632548,japan,85632429
2013649319,"missouri,saint louis",102086173
2017659850,"hudson river,new york,new york city,new jersey",102080719
2020680400,germany,85633111
2021641348,"russia,saint petersburg",85688069
2020684331,italy,85633253
2020683349,italy,85633253
2021645829,spain,85633129
98511092,"nova scotia,digby",890456417
2018647935,florida,85688651
2019643970,germany,85633111
2021645503,"manila,philippines",1159397249
2021645882,spain,85633129
2018653063,utah,85688567
2020681355,india,85632469
2011647061,"united states,charleston,south carolina",102085591
2006679401,"yosemite valley,california",85924991
2019635944,egypt,85632581
2020632651,japan,85632429
2018650954,new hampshire,85688689
2018646193,"santa barbara,california",102080855
2017657349,"new york,central park",85979165
2019644179,"germany,berlin",1729471691
2021640017,panama,85632179
2021644233,"glasgow,scotland",1175612707
2020683809,italy,85633253
2017648923,washington d.c.,85931779
2020634191,japan,85632429
2018653396,"arlington national cemetery,virginia,arlington",1108726271
2020634707,japan,85632429
2021635916,norway,85633341
2020683339,italy,85633253
97507749,"hong kong,china",85632695
2020681792,india,85632469
2017649329,"brooklyn bridge,new york,new york city",421205771
2020680889,greece,85633171
2020681559,india,85632469
2019632401,"antwerp,belgium",85681715
2015651946,"france,reims",101751377
2018649765,"new orleans,lousiana",1260162029
2021635819,"monaco,carlo,monte",85923629
2018645845,"california,san diego",102083569
2017645371,"new york,broadway",85892459
2018645686,"colorado,eldorado springs",85930689
2020682425,ireland,85633241
2019631291,australia,85632793
2018663794,"virginia,natural bridge",85979477
2003666578,"pusan,korea,south korea",102026353
2013647913,"missouri,saint louis",102086173
2018664440,"wisconsin river,wisconsin",1729459455
2017645323,new york,85688543
2020682187,ireland,85633241
2020681748,india,85632469
2020683946,italy,85633253
2017656943,"missouri,saint louis",102086173
2011646164,"antietam,antietam creek,maryland,united states,pennsylvania",404522893
2018652001,new york,85688543
2018650657,"hood,oregon,mount",85877029
90712399,"soldiers' national cemetery,gettysburg,pennsylvania",101718863
2017649348,"new york,broadway",85892459
2017647934,"new york city,new york,broadway",85892459
2021642395,scotland,102087849
2017652721,"indian river,florida",102085837
2020682554,ireland,85633241
2021635988,norway,85633341
2021642453,scotland,102087849
2015645136,"new york,central park",85979165
2020633605,japan,85632429
2022643868,sweden,85633789
2013647807,"missouri,saint louis",102086173
2020637564,"java,indonesia",102020395
2021639736,panama,85632179
2020680669,greece,85633171
2018650268,new york,85688543
2021644455,spain,85633129
2009631324,"charleston,south carolina",102085591
2020681270,india,85632469
2021646968,"colombo,sri lanka",85673811
2020637872,japan,85632429
2011661075,united states,85633793
94505139,"morrison,colorado",85929747
2019631286,australia,85632793
2020682334,ireland,85633241
2017656260,"a new york,new york,brooklyn",421205765
2020632623,japan,85632429
2021638003,norway,85633341
2006681020,lebanon,85632533
91481699,"northern ireland,antrim,county",102083069
2003681419,"greece,laurio",101848183
2018649211,"illinois,charleston",102085591
2018647751,colorado,85688603
2022646985,switzerland,85633051
2022646900,switzerland,85633051
91729604,idaho,85688657
2006678864,"yosemite valley,california",85924991
2019637347,england,85921113
2021640120,peru,85632521
2015645349,"united states,charleston,south carolina",102085591
2021639593,norway,85633341
2019642036,"france,paris",85683497
2010647265,"north carolina,asheville",101713403
2017649315,"new york,new york city",421205771
2022644200,switzerland,85633051
2022646059,switzerland,85633051
2020680030,germany,85633111
2019645183,"frankfurt am main,germany",102063589
2015652221,"mineola,new york",85977613
2022644312,sweden,85633789
2010647362,washington d.c.,85931779
2020680911,greece,85633171
2020638781,mexico,85633293
2016646703,"virginia,united states,richmond",102081779
2021644498,spain,85633129
2002719461,dakota territory,102087895
2017657078,"thomas circle,fourteenth street,washington d.c.",85866875
2021637900,norway,85633341
2021645909,spain,85633129
2017649962,"broadway,new york,new york city",421205771
2017645352,new york,85688543
2006679420,"yosemite valley,california",85924991
2020634357,japan,85632429
2020639659,"netherlands,edam",101837917
2018663803,puerto rico,85633729
98504900,"martinique,mount,pelée",101735825
2018649203,"illinois,rock island",102082281
2018650169,new hampshire,85688689
2021635852,"marken,netherlands",101855417
2020633580,japan,85632429
2020682078,ireland,85633241
2018650624,"havana glen,new york",404522713
2020634338,"osaka,japan",85672785
2022643508,switzerland,85633051
2011647084,"virginia,united states",85688747
2017651023,"massachusetts,boston",85950361
2017649612,"street,bowery,new york,new york city",421205771
2022645260,elmira,85977537
2020634371,japan,85632429
2022648203,"wisconsin river,wisconsin",1729459455
2013647822,"missouri,saint louis",102086173
93505388,north dakota,85688525
2020639332,lapland,404227409
2020683633,italy,85633253
2015652165,"france,aisne",85683247
2017645318,"new york,broadway",85892459
92515102,"new york,new york city",421205771
2022648364,"virginia,luray caverns",101728651
2020684919,japan,85632429
2003670032,"naples,italy",85685487
2017660285,"oil city,pennsylvania",101717331
2022645709,wales,1125893361
2018649003,"chicago,illinois",404496273
2021646993,"kandy,sri lanka",85673719
2019644892,germany,85633111
2018652866,utah,85688567
2017658851,"new york,central park",85979165
2020684561,jamaica,85632215
2021646874,"seville,spain",85682841
2020682304,ireland,85633241
